GeneID	basemean-S_0d	basemean-S_3d
CL11931.Contig3_All	4.279365051	24.95958026
Unigene14123_All	0.273403588	6.240879591
CL8175.Contig2_All	5.734183268	0.048954442
Unigene4694_All	6.646540545	0.389879129
CL3794.Contig3_All	16.59493835	2.545572426
Unigene640_All	8.290601229	0.773966666
CL8107.Contig2_All	11.21861064	1.377068109
CL6534.Contig6_All	17.95964824	85.73949304
Unigene6797_All	16.35774049	2.481453276
Unigene4900_All	11.18275649	55.54303145
CL3621.Contig4_All	41.94037469	7.970628658
Unigene15573_All	8.949911609	0.908772462
CL5671.Contig2_All	43.42163624	8.403437657
Unigene8635_All	6.237543997	0.296220219
Unigene11518_All	97.38667147	21.01787451
Unigene5432_All	0.568486489	7.281402878
CL7665.Contig2_All	7.467345296	39.35501624
Unigene16736_All	49.54852999	9.921132384
CL4323.Contig4_All	25.84222829	4.660786258
CL3101.Contig1_All	26.50671679	4.940754122
Unigene11981_All	6.465628591	0.379733023
Unigene10297_All	4.888548558	26.3256955
CL11345.Contig1_All	15.16748211	72.35216074
CL3052.Contig1_All	10.41102068	1.221358809
Unigene16967_All	10.18731924	1.157613936
Unigene5968_All	14.19401078	2.037582482
CL5052.Contig2_All	75.07905079	16.01209665
Unigene3581_All	6.46135695	0.393456885
CL4294.Contig1_All	78.41845622	16.93312494
CL2012.Contig7_All	22.91903398	4.017271409
CL6621.Contig1_All	47.89281568	9.813389817
CL747.Contig4_All	8.354407987	42.54623021
CL2642.Contig11_All	11.80133169	1.582893863
CL5946.Contig1_All	75.01020232	16.18580254
Unigene791_All	61.31408978	12.77707702
CL4442.Contig5_All	16.80256808	2.708141521
Unigene566_All	24.17961521	4.366718383
CL1244.Contig2_All	62.39598626	13.13276975
CL12223.Contig1_All	22.57612331	4.021745412
CL12374.Contig2_All	5.627337369	0.129153709
CL2012.Contig6_All	11.83298704	1.633248807
CL5041.Contig12_All	9.957148498	1.140409483
CL9955.Contig1_All	151.4073909	34.22281079
CL770.Contig7_All	5.745733873	0.187396264
CL6285.Contig2_All	5.536267538	0.08669437
CL1330.Contig2_All	34.27967401	6.543732329
Unigene12036_All	6.268437918	0.358272144
CL5796.Contig5_All	15.4359892	70.19236526
Unigene6266_All	32.40775887	6.153786301
CL108.Contig3_All	14.59594736	2.208707932
CL8038.Contig2_All	51.0654973	10.56990067
CL11345.Contig3_All	13.74179798	62.94811505
CL108.Contig4_All	8.67999578	0.956602592
CL6151.Contig2_All	5.732887118	0.218264128
CL1497.Contig2_All	5.691469151	0.210010443
CL8281.Contig2_All	5.62068288	0.179853804
CL5481.Contig2_All	15.69669602	2.527560988
CL326.Contig2_All	6.052890246	0.329756747
CL6874.Contig1_All	353.766905	80.44368955
CL10043.Contig1_All	14.66095621	2.343528679
CL3828.Contig1_All	54.96200371	11.86228166
CL3148.Contig1_All	3.865335366	21.57548117
CL8086.Contig2_All	5.992900109	0.316101573
CL1608.Contig3_All	7.995391935	0.760546063
CL5041.Contig3_All	7.951394597	0.752508969
Unigene13641_All	7.352723852	0.640459843
CL6375.Contig2_All	16.90563475	2.833233289
Unigene23655_All	5.371559043	0.102667199
CL5877.Contig2_All	9.407009669	45.36551369
Unigene20168_All	50.63512396	10.97350498
CL6639.Contig1_All	56.47189402	12.47985273
CL11771.Contig1_All	16.66141471	2.784763889
CL4442.Contig6_All	19.03459489	3.30041196
CL9783.Contig3_All	9.834636762	46.4260752
Unigene5404_All	9.397460168	1.091513009
CL752.Contig3_All	13.87582246	2.14660962
